,,,,
,,,,
,,,,
,,,,
,,,,
﻿,,,,
Axis,Energy,Elements=,201,
,,,,
C:\2025XPSdata\2025-04-08\Experiment\2025-03434_X-Ray009 400um - FG  ON\2\2.DATA\F1s Scan.VGD,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Binding Energy (E),,,,Backgnd.
eV,,Counts / s,,Counts / s
698.08,,28927.3,,0
697.98,,29062.5,,0
697.88,,28761.5,,0
697.78,,29225.6,,0
697.68,,28830.2,,0
697.58,,28779.4,,0
697.48,,28781.6,,0
697.38,,28967.1,,0
697.28,,28877.4,,0
697.18,,28520,,0
697.08,,28513.3,,0
696.98,,28532.4,,0
696.88,,29105.4,,0
696.78,,28571.7,,0
696.68,,28128.7,,0
696.58,,27922.2,,0
696.48,,29007,,0
696.38,,29455.8,,0
696.28,,28562.8,,0
696.18,,28168.9,,0
696.08,,28270.3,,0
695.98,,28045.4,,0
695.88,,28320.6,,0
695.78,,27611.8,,0
695.68,,27304.9,,0
695.58,,28192.5,,0
695.48,,27886.6,,0
695.38,,27321.8,,0
695.28,,27662.5,,0
695.18,,28712.4,,0
695.08,,27830.7,,0
694.98,,27478.1,,0
694.88,,27589.2,,0
694.78,,27876.6,,0
694.68,,27971.4,,0
694.58,,27596.4,,0
694.48,,27904.6,,0
694.38,,27968,,0
694.28,,27838.1,,0
694.18,,27509.9,,0
694.08,,27597.3,,0
693.98,,27920.7,,0
693.88,,27297.4,,0
693.78,,27727.2,,0
693.68,,27743.6,,0
693.58,,27664,,0
693.48,,27335.3,,0
693.38,,27169.1,,0
693.28,,27471.4,,0
693.18,,27371,,0
693.08,,27498,,0
692.98,,27162.7,,0
692.88,,27342.4,,0
692.78,,27314.3,,0
692.68,,27823.9,,0
692.58,,27808.6,,0
692.48,,27690.5,,27705.7
692.38,,27293.1,,27644.7
692.28,,27912.5,,27437.5
692.18,,27391,,27334.6
692.08,,26736.6,,27334.5
691.98,,27339.7,,27334.4
691.88,,27883.6,,27334.4
691.78,,27685.8,,27334.3
691.68,,27713.6,,27334.1
691.58,,27312.8,,27333.9
691.48,,27417.5,,27333.8
691.38,,27983,,27333.6
691.28,,27229.1,,27333.5
691.18,,27446.3,,27333.4
691.08,,27763.7,,27333.1
690.98,,28092.9,,27332.9
690.88,,27953.5,,27332.5
690.78,,28427.1,,27332
690.68,,28820.2,,27331.4
690.58,,28837.4,,27330.7
690.48,,29451,,27329.7
690.38,,29598.7,,27328.7
690.28,,28921.8,,27327.6
690.18,,30000.3,,27326.3
690.08,,30276.7,,27324.9
689.98,,31069.1,,27323.2
689.88,,31839.1,,27321.1
689.78,,32527.6,,27318.6
689.68,,33747,,27315.6
689.58,,34738.4,,27312.1
689.48,,36093.4,,27307.9
689.38,,37999.4,,27302.9
689.28,,39645.1,,27297.1
689.18,,41833.2,,27290.4
689.08,,43159.1,,27282.7
688.98,,44578.8,,27274.1
688.88,,47021.8,,27264.5
688.78,,48430.8,,27253.9
688.68,,51172.2,,27242.2
688.58,,53337.8,,27229.5
688.48,,54164.8,,27215.7
688.38,,56441.1,,27201
688.28,,57223.8,,27185.6
688.18,,57404.2,,27169.7
688.08,,58410.5,,27153.3
687.98,,57539.9,,27136.9
687.88,,57470.2,,27120.4
687.78,,58077.4,,27103.9
687.68,,56835.2,,27087.6
687.58,,56490.4,,27071.5
687.48,,56021.9,,27055.4
687.38,,56381.6,,27039.6
687.28,,55946.5,,27024
687.18,,54907.8,,27008.5
687.08,,56272.9,,26992.7
686.98,,57053.6,,26976.9
686.88,,57339.5,,26960.9
686.78,,57581.7,,26944.4
686.68,,59454.9,,26927.5
686.58,,60241.5,,26910
686.48,,61791.1,,26892
686.38,,63117.9,,26873.1
686.28,,64482.6,,26853.6
686.18,,65595.2,,26833.5
686.08,,66113.1,,26812.9
685.98,,65873.9,,26792
685.88,,65844.9,,26771
685.78,,64728.2,,26750.3
685.68,,63505.7,,26730.1
685.58,,61483,,26710.5
685.48,,59773,,26691.8
685.38,,57295.8,,26674.2
685.28,,54464.6,,26657.8
685.18,,52215.7,,26642.8
685.08,,49092.9,,26629.2
684.98,,46287.5,,26617
684.88,,43654.4,,26606.3
684.78,,41542.8,,26596.9
684.68,,39081.8,,26588.9
684.58,,37496.3,,26581.9
684.48,,35430,,26576.1
684.38,,33787.1,,26571.2
684.28,,32151,,26567.2
684.18,,30998.8,,26564
684.08,,30096.4,,26561.4
683.98,,30252.4,,26559.2
683.88,,29522.1,,26557.4
683.78,,28694,,26555.9
683.68,,27725.5,,26554.7
683.58,,27890.3,,26553.8
683.48,,27693.9,,26553.1
683.38,,27327.2,,26552.5
683.28,,27555.9,,26551.9
683.18,,27477.7,,26551.5
683.08,,26959.1,,26551
682.98,,27608.8,,26550.5
682.88,,27432.7,,26550.1
682.78,,27670.9,,26549.6
682.68,,27369.5,,26549.1
682.58,,27301.6,,26548.7
682.48,,26950,,26548.3
682.38,,26848.5,,26548
682.28,,26992.9,,26547.8
682.18,,27128.8,,26547.5
682.08,,26974.9,,26547.3
681.98,,27011.1,,26547.1
681.88,,26779.2,,26546.8
681.78,,26814.1,,26546.7
681.68,,26427.1,,26546.6
681.58,,26963.9,,26546.4
681.48,,26825.4,,26546.3
681.38,,26781.3,,26546.2
681.28,,26858.3,,26546
681.18,,26910.1,,26545.9
681.08,,27029.6,,26545.7
680.98,,26726.9,,26545.6
680.88,,26313.9,,26545.4
680.78,,26854.3,,26545.4
680.68,,26224.8,,26545.4
680.58,,26355.8,,26545.4
680.48,,26658,,26545.4
680.38,,26649,,0
680.28,,26839.5,,0
680.18,,27278.7,,0
680.08,,26967,,0
679.98,,26894.5,,0
679.88,,26736,,0
679.78,,26943.9,,0
679.68,,26995.4,,0
679.58,,27175,,0
679.48,,26958.1,,0
679.38,,26542,,0
679.28,,26896.1,,0
679.18,,26692.9,,0
679.08,,26527.8,,0
678.98,,26273.7,,0
678.88,,26488.4,,0
678.78,,26932.9,,0
678.68,,26738.8,,0
678.58,,26693.7,,0
678.48,,26938.2,,0
678.38,,27043.4,,0
678.28,,26637.5,,0
678.18,,26817.5,,0
678.08,,26520.8,,0
